MAT,median_life,mean_life,p25_life,p75_life,p90_life,n_failed
A.C,58.42573579739904,69.28557304738003,53.13620807665982,114.15195071868582,114.89117043121149,72
ACIE,52.17796030116359,50.089168967877455,42.52908966461328,54.997946611909654,71.22245037645449,290
AFCO,48.11772758384668,48.040646553993575,45.19917864476386,48.39972621492129,53.549623545516766,13
AUTRE,107.90965092402465,108.6483728454981,107.90965092402465,107.90965092402465,107.90965092402465,33
BA,118.3874058863792,118.3874058863792,118.3874058863792,118.3874058863792,118.3874058863792,4
BIOR,2.8966461327857633,5.376641154875241,2.8966461327857633,6.828199863107461,7.8959616700889805,22
BTM,51.931553730321696,45.414226378477636,32.407939767282684,59.17316906228611,60.45886379192335,249
CENT,45.894592744695416,36.39493497604381,36.39493497604381,45.894592744695416,45.894592744695416,4
COMP,44.38603696098563,44.43826672984783,44.38603696098563,44.38603696098563,45.9958932238193,13
CUIT,113.82340862422998,113.82340862422998,113.82340862422998,113.82340862422998,113.82340862422998,2
FER,53.31416837782341,48.483873220746204,52.11225188227242,57.06228610540725,60.06297056810404,49
FT,24.528405201916495,26.3266205433383,8.09719370294319,42.793976728268305,50.668309377138954,9423
FTBLU,3.0937713894592744,3.0937713894592744,3.0937713894592744,3.0937713894592744,3.0937713894592744,1
FTG,59.73442847364819,60.86760108547778,55.37850787132101,65.15811088295688,70.70499657768652,13799
FTVI,2.349075975359343,2.9974848057527854,1.0171115674195756,3.9041752224503763,4.915537303216974,83
GALV,9.894592744695414,9.894592744695414,9.894592744695414,9.894592744695414,9.894592744695414,1
PB,35.97535934291581,57.68361718403994,35.24435318275154,80.13415468856947,113.61478439425052,17
PEBD,118.9596167008898,95.2498288843258,83.3949349760438,118.9596167008898,118.9596167008898,3
PEHD,10.896646132785763,20.634502539480238,3.997262149212868,27.99726214921287,45.894592744695416,609
POLY,45.19917864476386,40.40912012546972,24.22861054072553,52.58590006844627,60.4060232717317,1510
PVC,47.81108829568789,42.19363053496019,35.7782340862423,54.997946611909654,55.997262149212865,501
VP,38.43394934976044,42.215048628686944,35.318275154004105,49.719370294318956,67.64298425735804,43
