GID,DDP,DDP_year,DHS,DHS_year,MAT,DIAMETRE,STATUT_OBJET,LNG,age
410966779,2009-01-01T00:00:00.000Z,2009,,,FT,100,EN SERVICE,82.726,6188
410966789,2009-01-01T00:00:00.000Z,2009,,,FT,100,EN SERVICE,3.052,6188
410000670,1963-01-01T00:00:00.000Z,1963,,,FT,300,EN SERVICE,71.43,22990
410000672,1963-01-01T00:00:00.000Z,1963,,,FT,300,EN SERVICE,75.729,22990
410967885,2024-06-10T00:00:00.000Z,2024,,,FT,100,EN SERVICE,6.002,549
410000677,1988-01-01T00:00:00.000Z,1988,,,FT,100,EN SERVICE,39.018,13859
410000678,1988-01-01T00:00:00.000Z,1988,,,FT,100,EN SERVICE,24.807,13859
410000679,1988-01-01T00:00:00.000Z,1988,,,FT,100,EN SERVICE,51.443,13859
410000690,1977-01-01T00:00:00.000Z,1977,,,FT,150,EN SERVICE,1.197,17876
410000695,1963-01-01T00:00:00.000Z,1963,,,FT,300,EN SERVICE,46.95,22990
410000698,1963-01-01T00:00:00.000Z,1963,,,FT,100,EN SERVICE,9.645,22990
410001234,1949-01-01T00:00:00.000Z,1949,2004-12-31T23:00:00.000Z,2004,FTG,100,ABANDONNE,14.888,20454
410001235,1989-01-01T00:00:00.000Z,1989,,,FT,100,EN SERVICE,69.997,13493
410001236,1989-01-01T00:00:00.000Z,1989,,,FT,100,EN SERVICE,59.31,13493
410001237,1989-01-01T00:00:00.000Z,1989,,,FT,100,EN SERVICE,81.921,13493
410001238,1949-01-01T00:00:00.000Z,1949,2004-12-31T23:00:00.000Z,2004,FTG,100,ABANDONNE,26.244,20454
410001239,1949-01-01T00:00:00.000Z,1949,2004-12-31T23:00:00.000Z,2004,FTG,100,ABANDONNE,22.966,20454
410001240,1949-01-01T00:00:00.000Z,1949,2004-12-31T23:00:00.000Z,2004,FTG,100,ABANDONNE,4.316,20454
410001245,1988-01-01T00:00:00.000Z,1988,2004-12-31T23:00:00.000Z,2004,FT,100,ABANDONNE,13.46,6210
410001246,1979-01-01T00:00:00.000Z,1979,,,BTM,1000,EN SERVICE,46.609,17146
410001249,1979-01-01T00:00:00.000Z,1979,,,BTM,1000,EN SERVICE,88.323,17146
410001252,1988-01-01T00:00:00.000Z,1988,,,FT,150,EN SERVICE,2.054,13859
410001256,1979-01-01T00:00:00.000Z,1979,,,BTM,1000,EN SERVICE,51.651,17146
410001258,1988-01-01T00:00:00.000Z,1988,,,FT,150,EN SERVICE,72.557,13859
410001259,1988-01-01T00:00:00.000Z,1988,,,FT,150,EN SERVICE,91.583,13859
410001261,1926-01-01T00:00:00.000Z,1926,2021-06-08T22:00:00.000Z,2021,FTG,250,ABANDONNE,4.206,34857
410001262,1926-01-01T00:00:00.000Z,1926,2021-06-08T22:00:00.000Z,2021,FTG,250,ABANDONNE,186.25,34857
410001264,1926-01-01T00:00:00.000Z,1926,2021-06-08T22:00:00.000Z,2021,FTG,250,ABANDONNE,10.43,34857
410001265,1905-01-01T00:00:00.000Z,1905,2021-06-21T22:00:00.000Z,2021,FTG,200,ABANDONNE,98.992,42540
410000195,1949-01-01T00:00:00.000Z,1949,,,FTG,80,EN SERVICE,29.773,28103
410000197,1966-01-01T00:00:00.000Z,1966,2019-05-21T22:00:00.000Z,2019,FT,100,ABANDONNE,10.582,19498
410000198,1966-01-01T00:00:00.000Z,1966,2019-05-21T22:00:00.000Z,2019,FT,100,ABANDONNE,99.605,19498
410000200,1983-01-01T00:00:00.000Z,1983,,,FT,150,EN SERVICE,85.322,15685
410000201,1983-01-01T00:00:00.000Z,1983,,,FT,150,EN SERVICE,7.511,15685
