GID_OBJET,TYPE_ANOMALIE,SEVERITE,DATE_DETECTION_parsed,MATERIAU,DIAMETRE,is_hors_service,DATE_HS
410030412,FUITE_DETECT_TR,CRITIQUE,2017-08-02 00:00:00+00:00,FTG,100.0,False,
410009095,FUITE_SIGNAL_TR,CRITIQUE,1995-08-11 00:00:00+00:00,FTG,100.0,False,
410012297,FUITE_SIGNAL_TR,CRITIQUE,1995-08-01 00:00:00+00:00,FTG,250.0,False,
410937209,FUITE_SIGNAL_TR,CRITIQUE,1995-04-27 00:00:00+00:00,FT,150.0,False,
410023581,FUITE_SIGNAL_TR,CRITIQUE,1995-08-11 00:00:00+00:00,FTG,80.0,False,
410505913,FUITE_SIGNAL_TR,CRITIQUE,1995-07-12 00:00:00+00:00,FTG,150.0,True,2019-02-14 00:00:00
410000806,FUITE_SIGNAL_TR,CRITIQUE,1995-08-29 00:00:00+00:00,,,,
410016568,FUITE_SIGNAL_TR,CRITIQUE,1995-08-08 00:00:00+00:00,FT,100.0,True,2006-08-17 15:13:47
410024693,FUITE_SIGNAL_TR,CRITIQUE,1995-02-22 00:00:00+00:00,,,,
410025183,FUITE_SIGNAL_TR,CRITIQUE,1995-02-18 00:00:00+00:00,FTG,60.0,True,2013-12-01 00:00:00
410024605,FUITE_SIGNAL_TR,CRITIQUE,1995-01-12 00:00:00+00:00,FT,100.0,False,
410061881,FUITE_SIGNAL_TR,CRITIQUE,1995-01-30 00:00:00+00:00,,,,
410015300,FUITE_SIGNAL_TR,CRITIQUE,1995-01-04 00:00:00+00:00,FTG,100.0,True,2016-12-10 00:00:00
410024450,FUITE_SIGNAL_TR,CRITIQUE,1994-11-14 00:00:00+00:00,FT,150.0,True,2021-05-26 00:00:00
410024546,FUITE_SIGNAL_TR,CRITIQUE,1994-11-04 00:00:00+00:00,FTG,150.0,True,2005-11-10 14:51:19
410006182,FUITE_SIGNAL_TR,CRITIQUE,1995-07-18 00:00:00+00:00,FTG,40.0,True,2016-01-25 00:00:00
410003307,FUITE_SIGNAL_TR,CRITIQUE,1995-07-19 00:00:00+00:00,FTG,200.0,True,2004-10-07 15:55:31
410018294,FUITE_SIGNAL_TR,CRITIQUE,1995-09-02 00:00:00+00:00,FTG,80.0,True,2019-12-20 00:00:00
410000764,FUITE_SIGNAL_TR,CRITIQUE,1995-08-11 00:00:00+00:00,FTG,100.0,True,2022-02-09 00:00:00
410136099,FUITE_SIGNAL_TR,CRITIQUE,1994-11-15 00:00:00+00:00,FTG,150.0,True,2004-12-20 11:37:06
410001003,FUITE_SIGNAL_TR,CRITIQUE,1994-11-15 00:00:00+00:00,FTG,150.0,True,2004-07-22 14:44:05
410001105,FUITE_SIGNAL_TR,CRITIQUE,1994-11-01 00:00:00+00:00,FTG,250.0,True,2005-01-01 00:00:00
410818444,FUITE_SIGNAL_TR,CRITIQUE,1994-08-10 00:00:00+00:00,BTM,600.0,False,
410001896,FUITE_SIGNAL_TR,CRITIQUE,1994-10-08 00:00:00+00:00,FTG,150.0,True,2005-02-24 15:17:00
410007269,FUITE_SIGNAL_TR,CRITIQUE,1995-02-08 00:00:00+00:00,FT,100.0,False,
410007308,FUITE_SIGNAL_TR,CRITIQUE,1995-01-09 00:00:00+00:00,FTG,80.0,False,
410001966,FUITE_SIGNAL_TR,CRITIQUE,1995-01-05 00:00:00+00:00,FTG,100.0,True,2005-11-16 08:56:45
410001522,FUITE_SIGNAL_TR,CRITIQUE,1994-11-29 00:00:00+00:00,FTG,250.0,True,2019-04-08 00:00:00
410001198,FUITE_SIGNAL_TR,CRITIQUE,1994-10-19 00:00:00+00:00,FTG,60.0,True,2005-02-24 08:47:20
410062048,FUITE_SIGNAL_TR,CRITIQUE,1994-10-25 00:00:00+00:00,FTG,80.0,True,2011-01-31 08:35:33
410011911,FUITE_SIGNAL_TR,CRITIQUE,1995-01-31 00:00:00+00:00,FT,150.0,False,
410805587,FUITE_SIGNAL_TR,CRITIQUE,1995-04-12 00:00:00+00:00,POLY,51.0,False,
410008520,FUITE_SIGNAL_TR,CRITIQUE,1995-03-31 00:00:00+00:00,POLY,51.0,True,2010-01-01 00:00:00
410008520,FUITE_SIGNAL_TR,CRITIQUE,1995-03-08 00:00:00+00:00,POLY,51.0,True,2010-01-01 00:00:00
410008520,FUITE_SIGNAL_TR,CRITIQUE,1994-10-19 00:00:00+00:00,POLY,51.0,True,2010-01-01 00:00:00
410008731,FUITE_SIGNAL_TR,CRITIQUE,1995-02-02 00:00:00+00:00,FT,150.0,True,2019-09-18 00:00:00
410817999,FUITE_SIGNAL_TR,CRITIQUE,1995-01-10 00:00:00+00:00,FT,100.0,True,2016-01-01 00:00:00
410009535,FUITE_SIGNAL_TR,CRITIQUE,1995-02-09 00:00:00+00:00,,,,
410009792,FUITE_SIGNAL_TR,CRITIQUE,1994-11-25 00:00:00+00:00,FTG,100.0,False,
410001023,FUITE_SIGNAL_TR,CRITIQUE,1994-12-10 00:00:00+00:00,FTG,40.0,True,2015-07-06 00:00:00
410002077,FUITE_SIGNAL_TR,CRITIQUE,1995-01-25 00:00:00+00:00,BTM,1000.0,False,
410002077,FUITE_SIGNAL_TR,CRITIQUE,1995-01-25 00:00:00+00:00,BTM,1000.0,False,
410002077,FUITE_SIGNAL_TR,CRITIQUE,1995-01-24 00:00:00+00:00,BTM,1000.0,False,
410002904,FUITE_SIGNAL_TR,CRITIQUE,1994-12-01 00:00:00+00:00,FTG,250.0,False,
410004869,FUITE_SIGNAL_TR,CRITIQUE,1995-01-10 00:00:00+00:00,,,,
410004869,FUITE_SIGNAL_TR,CRITIQUE,1995-01-31 00:00:00+00:00,,,,
410004922,FUITE_SIGNAL_TR,CRITIQUE,1994-09-12 00:00:00+00:00,FT,100.0,False,
410014499,FUITE_SIGNAL_TR,CRITIQUE,1994-10-20 00:00:00+00:00,FT,100.0,False,
410017927,FUITE_SIGNAL_TR,CRITIQUE,1994-12-27 00:00:00+00:00,FTG,150.0,True,2019-09-05 00:00:00
410017927,FUITE_SIGNAL_TR,CRITIQUE,1994-12-27 00:00:00+00:00,FTG,150.0,True,2019-09-05 00:00:00
410000382,FUITE_SIGNAL_TR,CRITIQUE,1994-09-07 00:00:00+00:00,POLY,51.0,False,
410015533,FUITE_SIGNAL_TR,CRITIQUE,1995-01-03 00:00:00+00:00,,,,
410019925,FUITE_SIGNAL_TR,CRITIQUE,1995-02-21 00:00:00+00:00,BTM,600.0,False,
410012537,FUITE_SIGNAL_TR,CRITIQUE,1995-03-13 00:00:00+00:00,,,,
410012085,FUITE_SIGNAL_TR,CRITIQUE,1995-03-09 00:00:00+00:00,,,,
410011287,FUITE_SIGNAL_TR,CRITIQUE,1994-11-24 00:00:00+00:00,,,,
410011287,FUITE_SIGNAL_TR,CRITIQUE,1994-11-30 00:00:00+00:00,,,,
410011324,FUITE_SIGNAL_TR,CRITIQUE,1994-11-09 00:00:00+00:00,FTG,150.0,True,2009-10-02 13:48:09
