GID,materiau,age_at_freeze,diametre,longueur,y_true,y_pred,y_score,prediction_type
410966779,FT,14.847364818617386,100.0,82.726,0,0,0.022798321763521222,TN
410966789,FT,14.847364818617386,100.0,3.052,0,0,0.2268388509856877,TN
410000670,FT,60.84873374401095,300.0,71.43,0,0,0.2386590233674244,TN
410000672,FT,60.84873374401095,300.0,75.729,0,0,0.17153200978079405,TN
410000677,FT,35.84941820670773,100.0,39.018,0,0,0.0890214513775876,TN
410000678,FT,35.84941820670773,100.0,24.807,0,0,0.09591063633483059,TN
410000679,FT,35.84941820670773,100.0,51.443,0,0,0.0728050601346103,TN
410000690,FT,46.847364818617386,150.0,1.197,0,1,0.8101149026674418,FP
410000695,FT,60.84873374401095,300.0,46.95,0,0,0.2993022041512271,TN
410000698,FT,60.84873374401095,100.0,9.645,0,1,0.7621089243658982,FP
410001235,FT,34.847364818617386,100.0,69.997,0,0,0.04658594979397052,TN
410001236,FT,34.847364818617386,100.0,59.31,0,0,0.07650402006178843,TN
410001237,FT,34.847364818617386,100.0,81.921,0,0,0.06444562776520411,TN
410001246,BTM,44.84873374401095,1000.0,46.609,0,0,0.008464178795502677,TN
410001249,BTM,44.84873374401095,1000.0,88.323,0,0,0.010130919932982653,TN
410001252,FT,35.84941820670773,150.0,2.054,0,1,0.8305462788112428,FP
410001256,BTM,44.84873374401095,1000.0,51.651,0,0,0.008269197171780748,TN
410001258,FT,35.84941820670773,150.0,72.557,0,0,0.10422973421851615,TN
410001259,FT,35.84941820670773,150.0,91.583,0,0,0.03296949512216945,TN
410000195,FTG,74.84736481861738,80.0,29.773,0,1,0.7701178661780252,FP
410000200,FT,40.84873374401095,150.0,85.322,0,0,0.03650022403986274,TN
410000201,FT,40.84873374401095,150.0,7.511,0,0,0.15061386434218685,TN
410000203,FT,40.84873374401095,150.0,165.19,0,0,0.2293129773689394,TN
410000204,FT,40.84873374401095,150.0,9.641,0,0,0.16854246406280005,TN
410000206,FT,40.84873374401095,100.0,111.706,0,0,0.043397624755097175,TN
410000207,FT,40.84873374401095,80.0,50.772,0,0,0.06224211612034002,TN
410000209,FT,40.84873374401095,80.0,156.37,0,0,0.09024801263829059,TN
410000210,FT,40.84873374401095,80.0,47.569,0,0,0.06224211612034002,TN
410000706,FT,60.84873374401095,100.0,7.545,0,1,0.7428420415337165,FP
410000708,FT,49.84804928131417,100.0,0.501,0,1,0.916615511482722,FP
410000714,FTG,74.84736481861738,100.0,17.167,0,1,0.6017630704297205,FP
410000716,FTG,74.84736481861738,100.0,11.803,0,1,0.5785423729506547,FP
410000717,FT,57.84804928131417,150.0,62.171,1,1,0.8110244229941441,TP
410000719,FT,39.84941820670773,100.0,18.4,0,0,0.08536815287068439,TN
410000721,FT,45.84804928131417,100.0,30.425,0,0,0.1893505053690797,TN
410000731,FTG,74.84736481861738,100.0,10.497,0,1,0.6611058670624599,FP
410000760,FT,45.84804928131417,100.0,27.211,0,0,0.1893505053690797,TN
410902105,FTBLU,8.369609856262834,110.0,26.947,0,0,0.001982903832343008,TN
410902106,FTBLU,8.369609856262834,110.0,7.597,0,0,0.0019036263245227473,TN
410902107,FTBLU,8.369609856262834,110.0,47.289,0,0,0.0017145007137585268,TN
410001270,FTG,74.84736481861738,60.0,27.608,0,1,0.8069576620862534,FP
410001272,FT,30.847364818617386,150.0,14.705,0,0,0.16556137282440747,TN
410001274,FT,30.847364818617386,100.0,5.689,0,0,0.359355543046543,TN
410001276,FTG,74.84736481861738,60.0,65.5,0,1,0.5897018078667408,FP
410001277,FT,30.847364818617386,100.0,81.94,0,0,0.0646501374254897,TN
410001278,FT,30.847364818617386,100.0,10.749,0,0,0.19137667543473166,TN
410001279,FTG,74.84736481861738,100.0,10.28,0,1,0.685227979153597,FP
410001281,FT,53.84804928131417,100.0,102.043,0,0,0.22656507240011883,TN
410001283,FT,52.84873374401095,100.0,84.6,0,1,0.7053804663025613,FP
410001284,FTG,74.84736481861738,100.0,10.31,0,1,0.685227979153597,FP
410001290,FT,48.84873374401095,100.0,129.033,0,0,0.04916506552438239,TN
410001291,FT,48.84873374401095,100.0,61.478,0,0,0.08220603998507209,TN
410000217,FT,43.84941820670773,100.0,114.043,0,0,0.04176917387647933,TN
410000218,FT,40.84873374401095,80.0,34.748,0,0,0.06969816901180789,TN
410000219,FTG,74.84736481861738,100.0,27.909,0,1,0.6364225429526816,FP
410000220,FT,40.84873374401095,200.0,81.679,0,0,0.04465142182048039,TN
410000224,FT,40.84873374401095,100.0,44.91,0,0,0.06299600672191558,TN
410000225,FT,40.84873374401095,100.0,7.475,0,0,0.052255466373852894,TN
410000226,FT,40.84873374401095,100.0,134.552,0,0,0.05274226606110505,TN
410000227,FT,40.84873374401095,100.0,91.82,0,0,0.04260712982601378,TN
410000228,FT,40.84873374401095,100.0,85.581,0,0,0.058687134901085125,TN
410000229,FT,40.84873374401095,100.0,29.946,0,0,0.11855526905286025,TN
410000230,FT,40.84873374401095,200.0,123.675,0,0,0.034399928283665636,TN
410000231,FT,40.84873374401095,200.0,26.23,0,0,0.04957379611349536,TN
410000232,FT,40.84873374401095,200.0,50.041,0,0,0.033402955110397696,TN
410000233,FT,40.84873374401095,200.0,40.598,0,0,0.04976660389181056,TN
410000235,FTG,74.84736481861738,100.0,287.351,0,0,0.13061576437961198,TN
410000236,FT,40.84873374401095,100.0,60.981,0,0,0.05231212146794154,TN
410000773,FT,35.84941820670773,80.0,59.219,0,0,0.08187805616446757,TN
410000777,FT,37.84804928131417,150.0,7.446,0,0,0.2372950349680734,TN
410000778,FT,37.84804928131417,100.0,6.673,0,1,0.5219748526122358,FP
410000786,FT,34.847364818617386,200.0,1.122,0,1,0.7332712224030584,FP
410000788,FT,46.847364818617386,100.0,32.086,0,0,0.10057468497265765,TN
410000789,FT,46.847364818617386,100.0,26.165,0,0,0.09794704723626015,TN
410000791,FTG,74.84736481861738,300.0,22.485,0,1,0.5112392538155888,FP
