GID,materiau,age_at_freeze,diametre,longueur,y_proba
410002351,FTG,74.84736481861738,300.0,14.832,0.4131838636229344
410959188,FT,2.702258726899384,100.0,3.821,0.45516901447725294
410009793,FT,36.84873374401095,100.0,30.033,0.37886239295482776
410009795,ACIE,74.84736481861738,100.0,34.121,0.23380315623611317
410960285,FT,53.84804928131417,100.0,11.157,0.338989197721987
410022260,FTG,65.84804928131418,100.0,48.602,0.345684015849821
410022248,FTG,65.84804928131418,100.0,84.741,0.3200813011648896
410968313,FT,35.84941820670773,150.0,12.471,0.4447043365165802
410036255,POLY,49.84804928131417,51.0,23.447,0.1615253643781404
410036748,FT,36.84873374401095,100.0,38.416,0.35317845122199565
410036749,FT,36.84873374401095,100.0,104.254,0.03228022475099231
410037711,FT,38.847364818617386,150.0,28.957,0.25376208737588346
410041127,FT,59.84941820670773,150.0,127.557,0.3449708623313049
410952095,FTG,64.84873374401096,150.0,191.663,0.3150462910380503
410040842,FT,51.84941820670773,100.0,34.196,0.39703445107906093
410039843,FT,52.84873374401095,150.0,91.163,0.45995270350847206
410051184,FT,34.847364818617386,200.0,12.394,0.2857019891018365
410051655,FTG,74.84736481861738,60.0,191.729,0.3989616114115114
410052783,FTG,74.84736481861738,80.0,220.614,0.20628224653841984
410068327,FT,27.849418206707735,80.0,5.117,0.3820722628408634
410068329,FT,24.84873374401095,80.0,19.877,0.1896781152361771
410072066,FT,53.84804928131417,150.0,73.641,0.47774332205888986
410085604,FTG,63.84941820670773,100.0,106.106,0.489042392349552
410086734,FTG,123.8466803559206,100.0,10.344,0.3237714455698457
410086861,FTG,123.8466803559206,100.0,21.56,0.2631592390408968
410086862,FTG,123.8466803559206,100.0,4.053,0.47838115201955167
410952225,FTVI,2.9897330595482545,150.0,5.091,0.49475834163681515
410094419,FT,43.84941820670773,150.0,7.384,0.2660566182677414
410094422,FT,43.84941820670773,150.0,99.137,0.3001507418458295
410094423,FT,43.84941820670773,150.0,14.967,0.2909432743503986
410094424,FT,43.84941820670773,150.0,71.943,0.32694722105944685
410094573,FT,43.84941820670773,150.0,23.199,0.29266356794025583
410098278,FT,31.849418206707735,150.0,19.586,0.355594570964607
410098279,FT,43.84941820670773,150.0,49.329,0.28623698638448125
410098975,FTG,48.84873374401095,100.0,26.215,0.4623301632952586
410098979,FTG,48.84873374401095,200.0,109.437,0.44727650221822784
410104875,POLY,48.84873374401095,51.0,6.447,0.4977629689331327
410104880,FT,48.84873374401095,100.0,8.342,0.3962789949433031
410106210,FT,52.84873374401095,125.0,107.33,0.4073808290392708
410108661,FT,53.84804928131417,80.0,26.843,0.4576411014653516
410108676,FT,53.84804928131417,80.0,73.793,0.4188566421869003
410108677,FT,53.84804928131417,80.0,32.877,0.4502489771689715
410113982,FTG,73.84804928131418,100.0,10.79,0.43465735373745473
