decade_install,n_total,events,event_rate,events_captured,capture_10pct,fn_rate,avg_score
1960,4395,103,0.023435722411831627,72,0.6990291262135923,0.30097087378640774,0.5024107669182141
1970,4946,92,0.01860088960776385,65,0.7065217391304348,0.2934782608695652,0.299399109250823
1940,1914,62,0.03239289446185998,35,0.5645161290322581,0.4354838709677419,0.5878947795792122
1950,1462,27,0.018467852257181942,19,0.7037037037037037,0.2962962962962963,0.3618388011533236
2010,5744,25,0.004352367688022284,2,0.08,0.92,0.08293512264737914
2000,3866,25,0.006466632177961717,14,0.56,0.43999999999999995,0.17917597055924112
1980,3948,21,0.005319148936170213,13,0.6190476190476191,0.38095238095238093,0.18078287054371248
1990,2363,18,0.00761743546339399,9,0.5,0.5,0.15662945934954225
1900,3239,12,0.003704847175054029,4,0.3333333333333333,0.6666666666666667,0.06496725626030433
2020,3715,8,0.0021534320323014803,2,0.25,0.75,0.06732901918509727
